,Type,Rooms,Bathroom,CarSpots,Landsize,BuildingArea,YearBuilt,Price,SellerG,DateSold,Suburb,DistanceFromCenter,Lattitude,Longtitude,Regionname
1 Auckland St,house,3,1.0,2.0,585.0,133.0,1960.0,1300000.0,Buxton,2017-09-12,Bentleigh,11.4,-37.92647,145.04636000000005,Southern Metropolitan
1 Avenue Victoria,house,3,1.0,2.0,783.0,,,2040000.0,Nelson,2016-06-27,Hawthorn East,7.5,-37.8234,145.0526,Southern Metropolitan
1 Backhaus St,house,3,2.0,2.0,672.0,,,,,,Hampton,13.7,-37.9297,145.0005,Southern Metropolitan
1 Bahama Ct,house,4,2.0,2.0,600.0,,,1270000.0,M.J,2017-03-06,Vermont,17.2,-37.83944,145.18641000000005,Eastern Metropolitan
1 Baird St,house,3,2.0,1.0,577.0,,,687000.0,Brad,2017-05-20,Fawkner,12.4,-37.7071,144.9706,Northern Metropolitan
1 Balfour St,house,3,1.0,2.0,0.0,,,630000.0,Woodards,2017-06-24,Reservoir,12.0,-37.69528,145.00523,Northern Metropolitan
1 Balloan St,house,6,3.0,4.0,768.0,285.0,1997.0,1455000.0,Brad,2017-04-29,Coburg,7.8,-37.7397,144.9603,Northern Metropolitan
1 Balmoral Av,house,4,,,,,,1500000.0,Considine,2016-08-28,Strathmore,9.7,,,Western Metropolitan
1 Balwyn Rd,house,4,2.0,2.0,981.0,250.0,1905.0,,,,Canterbury,8.4,-37.82299,145.07918999999995,Southern Metropolitan
1 Bardia St,house,3,1.0,0.0,593.0,95.0,1950.0,726500.0,William,2017-01-07,Heidelberg West,8.8,-37.7482,145.04073,Eastern Metropolitan
1 Barina Rd,house,4,2.0,2.0,717.0,271.0,2003.0,,,,Glen Iris,9.2,-37.8614,145.0669,Southern Metropolitan
1 Barnato Gr,house,4,,,,,,7000000.0,Kay,2017-11-25,Armadale,6.3,,,Southern Metropolitan
1 Baroona Ct,house,3,1.0,2.0,,,,,,,Brighton,10.5,-37.90026,145.00032,Southern Metropolitan
1 Barunah St,house,4,1.0,2.0,700.0,176.0,1960.0,777000.0,Eview,2016-08-13,Hadfield,12.1,-37.704,144.9399,Northern Metropolitan
1 Batman Ct,house,4,2.0,2.0,680.0,,,,,,Vermont,17.2,-37.84202,145.20111,Eastern Metropolitan
1 Batman Rd,house,3,,,,,,986000.0,Jellis,2017-11-11,Eltham,18.0,,,Eastern Metropolitan
1 Baxter St,house,3,1.0,0.0,377.0,133.0,1915.0,1460000.0,Biggin,2017-06-17,Elsternwick,7.2,-37.88783,145.01324,Southern Metropolitan
1 Beacon Ct,house,4,2.0,2.0,953.0,,,975000.0,Fletchers,2016-11-19,Templestowe Lower,13.8,-37.7625,145.1256,Eastern Metropolitan
1 Beddoe Av,house,10,,,,,,2115000.0,Harcourts,2017-06-24,Clayton,16.7,,,South-Eastern Metropolitan
1 Bee Ct,house,3,1.0,0.0,583.0,104.0,1985.0,520000.0,YPA,2018-10-02,Craigieburn,20.6,-37.59706,144.94012,Northern Metropolitan
1 Bellarine St,house,4,2.0,2.0,559.0,217.0,1925.0,1400000.0,Jellis,2017-03-18,Preston,8.8,-37.7347,144.9966,Northern Metropolitan
1 Belmont Av,house,6,2.0,2.0,760.0,0.0,1957.0,,,,Kew,5.4,-37.80913,145.0421,Southern Metropolitan
1 Belvoir Gdns,house,4,2.0,2.0,655.0,,,750000.0,Douglas,2017-08-07,Derrimut,14.7,-37.79571,144.76656,Western Metropolitan
1 Benambra Dr,house,4,,,,,,,,,Templestowe Lower,12.4,,,Eastern Metropolitan
1 Bendigo St,house,3,1.0,2.0,197.0,,,,,,Collingwood,2.0,-37.79654,144.9926,Northern Metropolitan
1 Bent St,house,3,1.0,1.0,590.0,185.0,,2160000.0,Biggin,2017-03-18,Elsternwick,8.5,-37.8807,145.0005,Southern Metropolitan
1 Bentley Ct,house,4,2.0,1.0,652.0,,1960.0,880000.0,Barry,2018-10-02,Mulgrave,18.8,-37.92569,145.17261000000005,South-Eastern Metropolitan
1 Bernard St,house,3,1.0,2.0,343.0,,,785000.0,Williams,2017-06-24,Spotswood,6.2,-37.83187,144.88966000000005,Western Metropolitan
1 Bernarra Ct,house,7,2.0,4.0,5022.0,409.54,2004.0,2705000.0,Ray,2017-01-07,Donvale,16.1,-37.76598,145.19329,Eastern Metropolitan
1 Berry St,house,4,2.0,2.0,,236.0,2011.0,1700000.0,Jas,2017-10-14,Yarraville,6.3,-37.81185,144.89707,Western Metropolitan
1 Bethell St,house,3,2.0,2.0,378.0,,1924.0,1256000.0,hockingstuart,2016-06-08,Ormond,11.8,-37.9064,145.0287,Southern Metropolitan
1 Beuron Rd,house,3,1.0,1.0,620.0,108.0,1950.0,,,,Altona North,11.1,-37.829,144.84799999999996,Western Metropolitan
1 Bicknell Ct,house,3,1.0,1.0,404.0,86.0,1960.0,500000.0,Love,2017-09-12,Broadmeadows,14.0,-37.69412,144.92005,Northern Metropolitan
1 Bilston St,house,3,1.0,0.0,190.0,,,,,,Seddon,6.6,-37.804,144.8945,Western Metropolitan
1 Biltris Ct,house,3,1.0,0.0,723.0,76.0,1960.0,570000.0,YPA,2017-10-14,Jacana,14.0,-37.69064,144.91105,Northern Metropolitan
1 Bimbadeen Cr,house,3,1.0,1.0,530.0,,,,,,Yallambie,12.7,-37.72496,145.10413,Northern Metropolitan
1 Birch St,house,6,6.0,2.0,733.0,,,,,,Mount Waverley,14.2,-37.8662,145.1288,Eastern Metropolitan
1 Birrell Ct,house,4,3.0,3.0,531.0,332.0,1970.0,3385000.0,RT,2017-11-18,Kew,5.4,-37.8042,145.0572,Southern Metropolitan
1 Bittern St,house,4,1.0,7.0,,0.0,1980.0,680000.0,Stockdale,2017-10-14,Broadmeadows,14.0,-37.67892,144.90803,Northern Metropolitan
1 Blackshaw St,house,2,1.0,2.0,595.0,,,1668000.0,Buxton,2016-09-24,Ormond,11.8,-37.9092,145.0507,Southern Metropolitan
1 Blackwood Ct,house,5,3.0,1.0,986.0,222.0,1950.0,,,,Nunawading,15.4,-37.81079,145.18411,Eastern Metropolitan
1 Bligh St,house,3,1.0,1.0,587.0,94.0,1980.0,413000.0,Raine,2017-10-28,Melton South,29.8,-37.70945,144.56748000000005,Western Victoria
1 Bloomfield Rd,house,3,1.0,1.0,278.0,166.0,1900.0,1305000.0,Barry,2016-05-28,Ascot Vale,5.9,-37.7768,144.9223,Western Metropolitan
1 Bluebell Cr,house,4,,,,,,600000.0,Nelson,2016-08-22,Gowanbrae,13.6,,,Western Metropolitan
1 Boeing Ct,house,3,2.0,2.0,,145.0,1970.0,,,,Forest Hill,15.4,-37.85148,145.16876000000005,Eastern Metropolitan
1 Bolinda Pl,house,4,2.0,3.0,654.0,270.0,1985.0,1160000.0,Barry,2017-09-12,Vermont,17.2,-37.84351,145.19246,Eastern Metropolitan
1 Bolinda Rd,house,3,2.0,3.0,763.0,168.0,1960.0,1700000.0,Fletchers,2016-08-13,Balwyn North,9.2,-37.7935,145.0865,Southern Metropolitan
1 Bond St,house,3,1.0,1.0,252.0,,,,,,Ivanhoe,7.9,-37.7631,145.0433,Eastern Metropolitan
1 Boreham St,house,3,1.0,0.0,705.0,118.0,1965.0,610000.0,Barry,2016-04-16,Sunshine,12.6,-37.8005,144.822,Western Metropolitan
1 Bourneville Av,house,5,,,,,,2700000.0,Buxton,2017-05-20,Brighton East,10.7,,,Southern Metropolitan
1 Boyne St,house,2,1.0,3.0,526.0,90.0,1940.0,745000.0,Raine,2016-10-12,Coburg North,9.2,-37.732,144.9832,Northern Metropolitan
1 Brack Av,house,3,2.0,3.0,738.0,,,901000.0,hockingstuart,2017-09-23,Brooklyn,6.4,-37.8227,144.84094,Western Metropolitan
1 Braemar St,house,3,2.0,2.0,625.0,,,1505000.0,Jellis,2016-07-30,Essendon,8.0,-37.7489,144.9073,Western Metropolitan
1 Brees Rd,house,6,3.0,2.0,516.0,268.0,1970.0,925000.0,Barry,2017-09-12,Keilor East,11.7,-37.75045,144.87158,Western Metropolitan
1 Brewery La,townhouse,2,,,,,,1075000.0,Jellis,2017-04-22,Collingwood,1.6,,,Northern Metropolitan
1 Bridgeford Ct,house,2,1.0,,,,,520000.0,Jellis,2017-10-21,Heidelberg West,8.8,-37.74318,145.04641999999996,Eastern Metropolitan
1 Brighton Pl,house,4,2.0,2.0,596.0,210.0,2003.0,735000.0,Barry,2018-10-02,Taylors Hill,18.0,-37.70715,144.75963000000004,Western Metropolitan
1 Broderick Rd,house,4,1.0,1.0,646.0,103.0,1987.0,546000.0,Harcourts,2017-08-26,Carrum Downs,34.9,-38.10346,145.18159,South-Eastern Metropolitan
1 Brooks Cr,house,3,,,,,,588000.0,Barry,2017-06-24,Diamond Creek,21.8,,,Northern Victoria
1 Browning St,house,2,,,,,,905000.0,Greg,2017-11-18,Seddon,5.1,,,Western Metropolitan
1 Bruce St,house,4,2.0,2.0,478.0,122.0,1910.0,1655000.0,Hodges,2017-12-08,Brunswick,5.2,-37.7725,144.966,Northern Metropolitan
1 Buchanan Av,house,4,,,,,,,,,Balwyn North,9.2,,,Southern Metropolitan
1 Buckmaster Dr,house,5,2.0,2.0,,216.0,1990.0,650000.0,The,2017-10-28,Mill Park,17.9,-37.66768,145.06455,Northern Metropolitan
1 Bute St,house,3,3.0,2.0,122.0,,1950.0,1315000.0,Biggin,2017-05-27,Seddon,5.1,-37.80401,144.89519,Western Metropolitan
1 Buxton St,house,3,1.0,1.0,533.0,,,1061000.0,Burnham,2016-03-12,West Footscray,8.2,-37.7955,144.8784,Western Metropolitan
1 Calembeena Av,house,3,,,,,,880000.0,Barry,2016-10-15,Hughesdale,13.0,,,Southern Metropolitan
1 Calola St,house,3,1.0,1.0,704.0,,,1265000.0,William,2017-07-10,Heidelberg West,8.8,-37.74305,145.04231,Eastern Metropolitan
1 Cambridge St,house,2,1.0,2.0,230.0,,1888.0,,,,Armadale,6.3,-37.8593,145.017,Southern Metropolitan
1 Cameron St,house,3,2.0,3.0,488.0,135.0,1950.0,861000.0,Stockdale,2017-03-09,Reservoir,12.0,-37.72747,145.00035,Northern Metropolitan
1 Campbell St,house,4,2.0,2.0,514.0,,1920.0,,,,Kew,5.6,-37.801,145.0497,Southern Metropolitan
1 Carcoola Ct,house,3,2.0,2.0,0.0,163.0,1980.0,1470000.0,Woodards,2017-02-25,Ormond,11.8,-37.9071,145.0439,Southern Metropolitan
1 Carina Dr,house,5,2.0,2.0,590.0,,,460000.0,hockingstuart,2017-03-09,Melton,31.7,-37.68217,144.56926,Western Victoria
1 Caroline St,house,3,1.0,1.0,713.0,145.0,1960.0,669000.0,Stockdale,2017-07-22,Dandenong,24.7,-37.98997,145.2254,South-Eastern Metropolitan
1 Centurion Ct,house,3,1.0,2.0,524.0,155.0,1970.0,600000.0,Love,2017-07-15,Epping,19.6,-37.64273,145.03751,Northern Metropolitan
1 Chadree Ct,house,3,2.0,2.0,542.0,,,840000.0,Buxton,2017-06-24,Dingley Village,22.2,-37.98536,145.13433999999995,South-Eastern Metropolitan
1 Chatsworth Rd,house,2,1.0,1.0,158.0,,,1090000.0,hockingstuart,2016-10-09,Prahran,4.5,-37.8531,145.0063,Southern Metropolitan
1 Chaucer Cr,house,4,1.0,2.0,,170.0,1972.0,760000.0,Barry,2017-08-26,Bundoora,12.1,-37.6965,145.06566,Northern Metropolitan
1 Chelsey St,house,3,1.0,2.0,697.0,102.0,1960.0,627000.0,Barry,2017-07-29,Ardeer,12.8,-37.77713,144.79746,Western Metropolitan
1 Chester Cl,house,3,2.0,1.0,650.0,204.0,1990.0,680000.0,Barry,2017-03-06,Greenvale,20.4,-37.64049,144.8846,Northern Metropolitan
1 Chifley Dr,house,2,1.0,4.0,865.0,,,1650000.0,Nelson,2017-09-12,Maribyrnong,4.3,-37.7691,144.9005,Western Metropolitan
1 Chisholm Cl,house,6,2.0,2.0,,,1970.0,,,,Gladstone Park,12.9,-37.6832,144.88765,Western Metropolitan
1 Chisholm St,flat,3,1.0,1.0,229.0,111.0,1996.0,726000.0,Barry,2016-09-24,Aberfeldie,9.1,-37.7606,144.8973,Western Metropolitan
1 Christie St,house,3,1.0,1.0,562.0,118.0,1960.0,632000.0,HAR,2017-09-23,Deer Park,14.8,-37.77224,144.77381,Western Metropolitan
1 Churchill Cl,house,4,2.0,2.0,330.0,187.0,2000.0,,,,Murrumbeena,12.1,-37.9044,145.0623,Southern Metropolitan
1 Churchill Wy,house,2,1.0,1.0,906.0,91.0,1950.0,830000.0,McGrath,2018-06-01,Kilsyth,26.0,-37.80065,145.30393,Eastern Metropolitan
1 Claremont Cr,house,3,,,,,,,,,Canterbury,9.0,,,Southern Metropolitan
1 Clarence St,house,3,1.0,2.0,660.0,135.0,1930.0,,,,Malvern East,8.4,-37.87456,145.04136,Southern Metropolitan
1 Clements Av,house,3,,,,,,852000.0,Ray,2017-01-07,Donvale,16.1,,,Eastern Metropolitan
1 Clendon Ct,house,3,2.0,2.0,488.0,,,950000.0,Greg,2018-06-01,Cheltenham,17.9,-37.95187,145.05844,Southern Metropolitan
1 Clive St,house,3,2.0,2.0,487.0,,1930.0,1450000.0,Gary,2017-11-11,Murrumbeena,10.1,-37.88800000000001,145.075,Southern Metropolitan
1 Closeburn Av,house,3,,,,,,2250000.0,Noel,2017-08-04,Prahran,4.5,,,Southern Metropolitan
1 Coleman Cr,house,3,,,,,,682400.0,Ray,2016-06-27,Reservoir,11.2,,,Northern Metropolitan
1 College St,house,3,2.0,0.0,198.0,148.0,1910.0,1560000.0,Jellis,2017-03-18,Hawthorn,4.6,-37.8169,145.0234,Southern Metropolitan
1 Collins Ct,house,3,2.0,2.0,533.0,,1980.0,911000.0,Hodges,2017-09-12,Chelsea,27.0,-38.04082,145.1249,South-Eastern Metropolitan
1 Consort Pl,house,4,2.0,2.0,756.0,222.0,2001.0,615000.0,YPA,2017-12-08,Craigieburn,20.6,-37.5729,144.93663,Northern Metropolitan
1 Coogee Pl,house,3,2.0,2.0,300.0,182.0,2000.0,2200000.0,Biggin,2017-10-28,Port Melbourne,3.5,-37.83898,144.92723,Southern Metropolitan
1 Cooinda Ct,house,3,,,,,,1160000.0,Buxton,2017-11-25,Burwood East,14.7,,,Eastern Metropolitan
1 Coonara Av,house,3,1.0,2.0,630.0,131.0,1968.0,790000.0,O'Brien,2017-07-10,Seaford,35.4,-38.09995,145.12863000000004,South-Eastern Metropolitan
1 Coromandel Ct,house,5,3.0,2.0,,,,1748000.0,Jellis,2017-11-18,Bulleen,10.8,-37.7735,145.0891,Eastern Metropolitan
1 Corona St,house,3,2.0,2.0,557.0,,,,,,Ivanhoe,7.9,-37.771,145.0431,Eastern Metropolitan
1 Corowa Ct,house,4,2.0,3.0,,,,,,,Mooroolbark,26.5,-37.77868,145.32233,Eastern Victoria
1 Cory Pl,house,4,2.0,2.0,,174.0,2002.0,,,,Berwick,35.2,-38.0601,145.3636,Eastern Victoria
1 Cowes Pl,house,4,3.0,2.0,724.0,330.0,1990.0,853000.0,Barry,2017-07-15,Taylors Lakes,15.5,-37.70941,144.7873,Western Metropolitan
1 Crawford Rd,house,3,3.0,2.0,385.0,,,900000.0,Barry,2016-08-28,Doncaster,13.9,-37.7774,145.1205,Eastern Metropolitan
1 Culloden St,house,3,1.0,2.0,505.0,,,995000.0,Brad,2016-04-23,Brunswick West,5.9,-37.757,144.9446,Northern Metropolitan
1 Culwell Av,house,3,2.0,2.0,,,,855000.0,Noel,2017-08-26,Mitcham,17.2,-37.8229,145.209,Eastern Metropolitan
1 Cumberland St,house,4,3.0,2.0,,,,,,,Eaglemont,8.9,-37.76204,145.06686000000005,Eastern Metropolitan
1 Cupar Pl,house,4,2.0,2.0,4007.0,,,1210000.0,Barry,2017-11-18,Greenvale,20.4,-37.6468,144.8847,Northern Metropolitan
1 Curzon St,house,3,1.0,2.0,688.0,,,1975000.0,Kay,2017-05-13,Brighton East,10.7,-37.9212,145.013,Southern Metropolitan
1 Cuthbert St,house,2,1.0,2.0,352.0,83.0,1950.0,800000.0,Frank,2017-09-23,Niddrie,10.4,-37.7361,144.88306,Western Metropolitan
1 Daisy St,house,4,2.0,1.0,267.0,,,1400000.0,Nelson,2017-08-04,Essendon,8.0,-37.7558,144.9106,Western Metropolitan
1 Dale Av,house,2,1.0,,1579.0,,,800000.0,Nelson,2018-06-01,Pascoe Vale,8.5,-37.73473,144.93909,Northern Metropolitan
1 Dava Ct,house,4,2.0,2.0,,,,,,,Ferntree Gully,24.8,-37.8915,145.2724,Eastern Metropolitan
1 Davis Av,house,4,,,,,,2300000.0,Kay,2016-04-23,South Yarra,3.3,,,Southern Metropolitan
1 Davison St,house,3,1.0,1.0,370.0,,,1000000.0,Nelson,2016-09-24,Brunswick,5.2,-37.7632,144.9572,Northern Metropolitan
1 Dawson Av,house,4,,,,,,,,,Brighton,11.2,,,Southern Metropolitan
1 Deakin St,house,2,1.0,2.0,500.0,,,,,,Malvern East,11.2,-37.8645,145.041,Southern Metropolitan
1 Delaware St,house,2,1.0,1.0,419.0,100.0,1940.0,861500.0,Nelson,2017-05-13,Reservoir,11.2,-37.721,145.016,Northern Metropolitan
1 Delmont St,house,4,1.0,3.0,,,,810000.0,hockingstuart,2017-09-23,Albion,10.5,-37.78043,144.81277,Western Metropolitan
1 Denise St,house,4,,,,,,,,,Springvale South,22.2,,,South-Eastern Metropolitan
1 Denison Ct,house,3,2.0,0.0,711.0,11.0,1986.0,468000.0,Brad,2017-11-25,Sunbury,31.7,-37.5867,144.7111,Western Metropolitan
1 Denman St,house,4,2.0,1.0,459.0,,,1500000.0,Jellis,2017-08-04,Brunswick,5.2,-37.7548,144.9545,Northern Metropolitan
1 Dennis St,house,3,1.0,1.0,650.0,,,,,,Heidelberg Heights,8.8,-37.74142,145.05535,Eastern Metropolitan
1 Derby St,house,3,2.0,2.0,0.0,,,,,,Armadale,6.3,-37.8512,145.0207,Southern Metropolitan
1 Dewrang St,house,3,1.0,2.0,532.0,,,1010000.0,Hodges,2017-05-27,Cheltenham,17.9,-37.95746,145.06706,Southern Metropolitan
1 Diana Dr,house,4,2.0,1.0,797.0,164.0,1960.0,1280000.0,Noel,2017-06-17,Blackburn North,13.4,-37.80755,145.1638,Eastern Metropolitan
1 Dinsdale St,house,3,1.0,1.0,259.0,,,2720000.0,hockingstuart,2017-10-28,Albert Park,3.0,-37.84476,144.95164,Southern Metropolitan
1 Discovery Pl,house,4,2.0,2.0,523.0,230.0,2012.0,766000.0,Melbourne,2017-07-10,Epping,19.6,-37.62245,145.00943999999996,Northern Metropolitan
1 Don St,house,4,2.0,10.0,1002.0,170.0,1985.0,1112000.0,RW,2017-08-26,Reservoir,12.0,-37.70671,145.03086000000005,Northern Metropolitan
1 Donal St,house,4,2.0,2.0,557.0,178.0,1955.0,1400000.0,hockingstuart,2017-02-25,Murrumbeena,12.1,-37.906,145.07399999999996,Southern Metropolitan
1 Donaldson St,house,3,1.0,2.0,569.0,0.0,1940.0,1730000.0,Jellis,2017-10-14,Bentleigh,11.4,-37.91456,145.04109,Southern Metropolitan
1 Dongola Rd,house,3,1.0,2.0,325.0,102.0,1925.0,935000.0,Jas,2017-04-22,West Footscray,8.2,-37.7922,144.8818,Western Metropolitan
1 Doonkuna Av,house,4,,,,,,,,,Camberwell,7.8,,,Southern Metropolitan
1 Doris St,house,3,1.0,1.0,298.0,,,727000.0,Fletchers,2017-11-25,Greensborough,16.1,-37.7076,145.0914,Northern Metropolitan
1 Dorothy St,house,3,2.0,1.0,450.0,,,802000.0,Nelson,2017-05-27,Pascoe Vale,8.5,-37.71872000000001,144.94871,Northern Metropolitan
1 Dorset Rd,house,2,1.0,1.0,602.0,,,630000.0,YPA,2016-04-23,Pascoe Vale,9.9,-37.724,144.9501,Northern Metropolitan
1 Dorset St,house,3,2.0,1.0,839.0,116.0,1970.0,1070000.0,Harcourts,2017-08-07,Glen Waverley,16.7,-37.89813,145.14652,Eastern Metropolitan
1 Dromana St,house,3,1.0,1.0,746.0,152.0,1960.0,865000.0,Brad,2017-05-27,Glenroy,11.2,-37.71051,144.90925,Northern Metropolitan
1 Dudley St,house,3,2.0,2.0,10100.0,,,1425000.0,McGrath,2017-02-25,Essendon North,9.4,-37.7376,144.8954,Western Metropolitan
1 Dundee Ct,house,5,2.0,2.0,,,,1550000.0,Jellis,2017-03-09,Templestowe,15.5,-37.76152,145.16168000000005,Eastern Metropolitan
1 Dunlavin Rd,house,4,2.0,2.0,481.0,166.0,1965.0,890000.0,Buxton,2017-09-23,Mitcham,17.2,-37.80961,145.1847,Eastern Metropolitan
1 Duranta Dr,house,3,2.0,4.0,371.0,176.0,2014.0,790000.0,Nelson,2018-06-01,Gowanbrae,12.9,-37.70212,144.90104,Western Metropolitan
1 Durkin St,house,2,2.0,1.0,213.0,127.0,2006.0,740000.0,RT,2016-04-16,Newport,8.4,-37.8441,144.8805,Western Metropolitan
1 Earlston Pl,house,3,2.0,2.0,,189.0,2007.0,,,,Craigieburn,20.6,-37.57395,144.93788999999995,Northern Metropolitan
1 East St,townhouse,3,2.0,2.0,200.0,144.0,2003.0,1000000.0,Nelson,2016-11-27,Ascot Vale,5.9,-37.7766,144.9277,Western Metropolitan
1 Ebony Pde,house,3,1.0,1.0,577.0,,,710000.0,William,2017-01-07,Heidelberg West,8.8,-37.74307,145.0399,Eastern Metropolitan
1 Edmanson Av,house,3,,,,,,,,,Brighton,10.5,,,Southern Metropolitan
1 Egginton St,house,4,2.0,2.0,645.0,217.0,1950.0,1268000.0,Alexkarbon,2017-06-24,Brunswick West,5.2,-37.76097,144.93933,Northern Metropolitan
1 Egret Ct,house,3,2.0,2.0,568.0,146.0,1987.0,470000.0,Greg,2017-10-21,Werribee,14.7,-37.88173,144.66523999999995,Western Metropolitan
1 Elaroo Av,house,5,3.0,3.0,696.0,,,2650000.0,Marshall,2017-10-28,Camberwell,7.7,-37.83904,145.07381,Southern Metropolitan
1 Elder St,house,3,1.0,2.0,650.0,,,632000.0,Darren,2017-02-25,Watsonia,14.9,-37.711,145.0854,Northern Metropolitan
1 Elemheim Ct,house,3,2.0,1.0,560.0,146.0,1970.0,,,,Blackburn South,13.4,-37.83677,145.15495,Eastern Metropolitan
1 Elliott St,house,8,2.0,4.0,587.0,216.0,1990.0,,,,Heidelberg Heights,10.5,-37.7467,145.0506,Eastern Metropolitan
1 Ellsworth Cr,townhouse,3,2.0,2.0,,,2014.0,1220000.0,Jellis,2017-09-16,Camberwell,7.7,-37.84096,145.08823,Southern Metropolitan
1 Elphin St,house,2,1.0,3.0,480.0,,,1070000.0,Jas,2017-04-29,Newport,8.4,-37.8431,144.8919,Western Metropolitan
1 Ely Ct,house,4,2.0,2.0,,230.0,1970.0,890000.0,Buxton,2017-11-11,Dingley Village,22.2,-37.9811,145.1266,South-Eastern Metropolitan
1 Emslie St,house,3,1.0,1.0,836.0,106.0,1975.0,555000.0,Barry,2016-08-22,Sunshine West,13.5,-37.8003,144.8097,Western Metropolitan
1 Estella St,house,4,3.0,3.0,1064.0,,,2920000.0,Marshall,2017-05-27,Glen Iris,7.3,-37.86224,145.06406,Southern Metropolitan
1 Evans St,house,3,2.0,2.0,854.0,,,,,,Chadstone,11.7,-37.88301,145.09662,Southern Metropolitan
1 Fairway St,house,3,1.0,1.0,821.0,,,825000.0,hockingstuart,2017-07-10,Frankston,38.0,-38.13552,145.13269,South-Eastern Metropolitan
1 Farm Rd,house,4,2.0,2.0,,172.0,2000.0,900000.0,RT,2017-10-21,Coburg,6.7,-37.73596,144.97179,Northern Metropolitan
1 Fawcett St,house,3,1.0,1.0,697.0,,,1020000.0,Philip,2018-06-01,Mitcham,17.2,-37.80604,145.19581000000005,Eastern Metropolitan
1 Fenton Ct,house,3,2.0,2.0,,531.0,,775000.0,Barry,2017-07-10,Keysborough,25.2,-37.99693,145.16925,South-Eastern Metropolitan
1 Fernhill Ct,house,4,1.0,2.0,546.0,149.0,1978.0,560000.0,Barry,2017-11-11,Albanvale,14.0,-37.744,144.7672,Western Metropolitan
1 First Av,house,4,,,,,,1380000.0,Jellis,2016-04-06,Kew,5.6,,,Southern Metropolitan
