Address;Suburb;DistanceFromCenter;Lattitude;Longtitude;Regionname
9 Merton Pl;Albert Park;3,3;-37,845;144,9545;Southern Metropolitan
55 Merton St;Albert Park;3,3;-37,8427;144,9546;Southern Metropolitan
16 Dinsdale St;Albert Park;3,3;-37,8452;144,9518;Southern Metropolitan
51 Graham St;Albert Park;3,3;-37,8441;144,9479;Southern Metropolitan
143 Kerferd Rd;Albert Park;3,3;-37,8473;144,9539;Southern Metropolitan
49 Page St;Albert Park;3,3;-37,8461;144,9528;Southern Metropolitan
13/52 Moubray St;Albert Park;3,3;-37,8421;144,9517;Southern Metropolitan
115 Page St;Albert Park;3,3;-37,8477;144,9558;Southern Metropolitan
32 Page St;Albert Park;3,3;-37,846;144,9517;Southern Metropolitan
34 Richardson St;Albert Park;3,3;-37,8429;144,9493;Southern Metropolitan
2b Dundas Pl;Albert Park;3,3;-37,8415;144,9585;Southern Metropolitan
22 Greig St;Albert Park;3,3;-37,8413;144,95;Southern Metropolitan
27 Barrett St;Albert Park;3,3;-37,8434;144,9495;Southern Metropolitan
3 Faussett St;Albert Park;3,3;;;Southern Metropolitan
44 Greig St;Albert Park;3,3;-37,8416;144,9488;Southern Metropolitan
6 Brooke St;Albert Park;3,3;-37,8387;144,9519;Southern Metropolitan
7 Herbert Pl;Albert Park;3,3;-37,8438;144,9588;Southern Metropolitan
8 Kerferd Pl;Albert Park;3,3;-37,842;144,958;Southern Metropolitan
5 Reed St;Albert Park;3,3;-37,8446;144,945;Southern Metropolitan
227a Danks St;Albert Park;3,3;-37,8488;144,9551;Southern Metropolitan
17 Reed St;Albert Park;3,3;-37,8448;144,9453;Southern Metropolitan
74 Bridport St;Albert Park;3,3;-37,8399;144,9577;Southern Metropolitan
9 Durham St;Albert Park;3,3;-37,8411;144,9497;Southern Metropolitan
30 Austin St;Alphington;6,4;-37,7818;145,0198;Northern Metropolitan
6 Smith St;Alphington;6,4;-37,7707;145,0318;Northern Metropolitan
5/6 Yarralea St;Alphington;6,4;-37,7854;145,0325;Northern Metropolitan
136A Fulham Rd;Alphington;6,4;-37,7713;145,0279;Northern Metropolitan
1/9 Roemer Cr;Alphington;6,4;;;Northern Metropolitan
4 Tuckett St;Alphington;6,4;-37,7812;145,0235;Northern Metropolitan
2/21 Fulham Rd;Alphington;6,4;;;Northern Metropolitan
44 Shiers St;Alphington;6,4;-37,7717;145,031;Northern Metropolitan
83 Fulham Rd;Alphington;6,4;-37,775;145,0268;Northern Metropolitan
29 Alphington St;Alphington;6,4;-37,7845;145,0208;Northern Metropolitan
3/19 Harker St;Alphington;6,4;-37,7791;145,0306;Northern Metropolitan
4/2 Miller St;Alphington;6,4;-37,7804;145,0308;Northern Metropolitan
2/5 Yarana Rd;Alphington;6,4;-37,7773;145,0314;Northern Metropolitan
4/5 Chandler Hwy;Alphington;6,4;;;Northern Metropolitan
69 Lucerne Cr;Alphington;6,4;;;Northern Metropolitan
815 Heidelberg Rd;Alphington;6,4;-37,78;145,0341;Northern Metropolitan
44 Naroon Rd;Alphington;6,4;-37,7755;145,0288;Northern Metropolitan
11 Tower Av;Alphington;6,4;;;Northern Metropolitan
1/17 Rex Av;Alphington;6,4;;;Northern Metropolitan
3/98 Grange Rd;Alphington;6,4;-37,7747;145,0264;Northern Metropolitan
10 Bennett St;Alphington;6,4;-37,7743;145,0316;Northern Metropolitan
38 Bennett St;Alphington;6,4;-37,7723;145,0319;Northern Metropolitan
2c Hamilton St;Alphington;6,4;-37,7802;145,0243;Northern Metropolitan
5/5 Yarana Rd;Alphington;6,4;-37,7773;145,0314;Northern Metropolitan
7/7 Chandler Hwy;Alphington;6,4;-37,7848;145,025;Northern Metropolitan
1/14 Fulham Rd;Alphington;6,4;-37,7805;145,0262;Northern Metropolitan
17 Lowther St;Alphington;6,4;-37,7796;145,0285;Northern Metropolitan
29 Naroon Rd;Alphington;6,4;-37,7765;145,0283;Northern Metropolitan
13a Fulham Rd;Alphington;6,4;;;Northern Metropolitan
32/23 Coate Av;Alphington;6,4;;;Northern Metropolitan
22 Lowther St;Alphington;6,4;-37,7792;145,029;Northern Metropolitan
6/11 Broomfield Av;Alphington;6,4;;;Northern Metropolitan
11 Margaret Gr;Alphington;6,4;-37,7844;145,0225;Northern Metropolitan
21 Como St;Alphington;6,4;-37,7829;145,0337;Northern Metropolitan
6 Naroon Rd;Alphington;6,4;-37,7781;145,0284;Northern Metropolitan
42 Shiers St;Alphington;6,4;-37,7719;145,0309;Northern Metropolitan
158 Queen St;Altona;13,8;-37,87;144,825;Western Metropolitan
59 Bracken Gr;Altona;13,8;-37,8721;144,8105;Western Metropolitan
1/123 Blyth St;Altona;13,8;-37,8687;144,8197;Western Metropolitan
4 Blyth St;Altona;13,8;-37,8693;144,8375;Western Metropolitan
20 Linnet St;Altona;13,8;-37,868;144,8154;Western Metropolitan
29 Rose St;Altona;13,8;-37,8681;144,819;Western Metropolitan
1/170 Blyth St;Altona;13,8;-37,8702;144,8143;Western Metropolitan
5/35 Grieve Pde;Altona;13,8;-37,8693;144,8171;Western Metropolitan
156 Maidstone St;Altona;13,8;-37,8616;144,8116;Western Metropolitan
11 Keeshan Ct;Altona;13,8;-37,8594;144,817;Western Metropolitan
1/4 Deavey Ct;Altona;13,8;;;Western Metropolitan
1/136 Queen St;Altona;13,8;-37,8696;144,827;Western Metropolitan
173 Queen St;Altona;13,8;-37,8697;144,8249;Western Metropolitan
1/265 Queen St;Altona;13,8;-37,8734;144,8143;Western Metropolitan
3/26 Grieve Pde;Altona;13,8;-37,8686;144,8182;Western Metropolitan
261 Queen St;Altona;13,8;-37,8733;144,8147;Western Metropolitan
4/5 Rose St;Altona;13,8;-37,871;144,8185;Western Metropolitan
1/60 David St;Altona;13,8;-37,8646;144,827;Western Metropolitan
1A Merritt Ct;Altona;13,8;-37,8579;144,8181;Western Metropolitan
4/31 Millers Rd;Altona;13,8;-37,8678;144,8384;Western Metropolitan
111/112 Pier St;Altona;13,8;-37,8659;144,83100000000002;Western Metropolitan
24 Wren St;Altona;13,8;-37,8658;144,8155;Western Metropolitan
54 Seves St;Altona;13,8;;;Western Metropolitan
1/152 Blyth St;Altona;13,8;-37,8698;144,816;Western Metropolitan
2/6 Galvin St;Altona;13,8;;;Western Metropolitan
4/57 Blyth St;Altona;13,8;-37,868;144,8286;Western Metropolitan
10 Wilga Av;Altona;13,8;;;Western Metropolitan
164 Maidstone St;Altona;13,8;-37,8611;144,8114;Western Metropolitan
3/25 Rayner St;Altona;13,8;-37,8676;144,8202;Western Metropolitan
3/46 Sargood St;Altona;13,8;-37,8655;144,8299;Western Metropolitan
1/57 Blyth St;Altona;13,8;-37,868;144,8287;Western Metropolitan
22 Fenfield St;Altona;13,8;-37,8608;144,8124;Western Metropolitan
5/8 David St;Altona;13,8;-37,8687;144,8268;Western Metropolitan
1/28 Seves St;Altona;13,8;-37,8674;144,8375;Western Metropolitan
27 McIntyre Dr;Altona;13,8;-37,86;144,8245;Western Metropolitan
4 Boyd St;Altona;13,8;-37,8672;144,817;Western Metropolitan
5a Emu Av;Altona;13,8;;;Western Metropolitan
12 Spear Ct;Altona;13,8;-37,8583;144,8172;Western Metropolitan
185 Queen St;Altona;13,8;-37,8699;144,8235;Western Metropolitan
3/20 Mulga St;Altona;13,8;-37,8684;144,815;Western Metropolitan
95 Blyth St;Altona;13,8;-37,8677;144,8252;Western Metropolitan
51 Millers Rd;Altona;13,8;-37,8663;144,8387;Western Metropolitan
2/119 Railway St N;Altona;13,8;-37,8659;144,822;Western Metropolitan
12 Ransom Av;Altona;13,8;;;Western Metropolitan
2/5 Rose St;Altona;13,8;-37,871;144,8185;Western Metropolitan
24 McIntyre Dr;Altona;13,8;-37,8612;144,8247;Western Metropolitan
104 Maidstone St;Altona;13,8;-37,8653;144,8129;Western Metropolitan
49 Bent St;Altona;13,8;-37,8651;144,832;Western Metropolitan
5/57 Blyth St;Altona;13,8;-37,868;144,8285;Western Metropolitan
15 Kookaburra St;Altona;13,8;-37,871;144,8075;Western Metropolitan
219 Civic Pde;Altona;13,8;-37,8631;144,8195;Western Metropolitan
3 Curtin Ct;Altona;13,8;-37,8637;144,8365;Western Metropolitan
2/60 David St;Altona;13,8;-37,8646;144,8272;Western Metropolitan
1 Beuron Rd;Altona North;11,1;-37,829;144,84799999999998;Western Metropolitan
45 Hearn St;Altona North;11,1;-37,8388;144,8567;Western Metropolitan
4 Knapp St;Altona North;11,1;-37,8291;144,835;Western Metropolitan
103 Sixth Av;Altona North;11,1;;;Western Metropolitan
80A Hansen St;Altona North;11,1;;;Western Metropolitan
21 Hatherley Gr;Altona North;11,1;-37,8449;144,85;Western Metropolitan
3/66 Marion St;Altona North;11,1;-37,8351;144,8529;Western Metropolitan
153 Mills St;Altona North;11,1;-37,8338;144,8562;Western Metropolitan
1/70 Misten Av;Altona North;11,1;;;Western Metropolitan
33 Carthy St;Altona North;11,1;-37,8284;144,8355;Western Metropolitan
47 Ginifer Av;Altona North;11,1;;;Western Metropolitan
16 Harris St;Altona North;11,1;-37,8267;144,8368;Western Metropolitan
1/5 Little St;Altona North;11,1;-37,8379;144,8583;Western Metropolitan
58a Clematis Av;Altona North;11,1;;;Western Metropolitan
1/77 Hansen St;Altona North;11,1;;;Western Metropolitan
21 Joel Av;Altona North;11,1;;;Western Metropolitan
1/95 Mills St;Altona North;11,1;-37,838;144,8555;Western Metropolitan
2/5 Stapley Cr;Altona North;11,1;;;Western Metropolitan
5 Binns St;Altona North;11,1;-37,8294;144,8378;Western Metropolitan
2/9 First Av;Altona North;11,1;;;Western Metropolitan
1/28 Irwin Av;Altona North;11,1;;;Western Metropolitan
3/49 Misten Av;Altona North;11,1;;;Western Metropolitan
29a The Broadway;Altona North;11,1;;;Western Metropolitan
25 Allan St;Altona North;11,1;-37,8448;144,8529;Western Metropolitan
9 Fourth Av;Altona North;11,1;;;Western Metropolitan
11a Edward Av;Altona North;11,1;;;Western Metropolitan
45 Freemans Rd;Altona North;11,1;-37,8261;144,8391;Western Metropolitan
1B Paproth Gr;Altona North;11,1;;;Western Metropolitan
7 Seventh Av;Altona North;11,1;;;Western Metropolitan
1/256 Mason St;Altona North;11,1;-37,8397;144,8602;Western Metropolitan
21 Allan St;Altona North;11,1;-37,8451;144,8529;Western Metropolitan
56a First Av;Altona North;11,1;;;Western Metropolitan
63a First Av;Altona North;11,1;;;Western Metropolitan
59 Misten Av;Altona North;11,1;;;Western Metropolitan
85a First Av;Altona North;11,1;;;Western Metropolitan
22 Joel Av;Altona North;11,1;;;Western Metropolitan
11 Mahon Av;Altona North;11,1;;;Western Metropolitan
2/36 May St;Altona North;11,1;-37,8337;144,8554;Western Metropolitan
11 Beevers St;Altona North;11,1;-37,8258;144,8523;Western Metropolitan
2/10 Cleghorn Av;Altona North;11,1;;;Western Metropolitan
2 Edward Av;Altona North;11,1;;;Western Metropolitan
10 Murphy St;Altona North;11,1;-37,8345;144,8444;Western Metropolitan
128 Second Av;Altona North;11,1;;;Western Metropolitan
5/24 Valerian Av;Altona North;11,1;;;Western Metropolitan
2/31 Cooper Av;Altona North;11,1;;;Western Metropolitan
9 Begonia Av;Altona North;11,1;;;Western Metropolitan
1/36 Amaranth Av;Altona North;11,1;;;Western Metropolitan
3/36 Amaranth Av;Altona North;11,1;;;Western Metropolitan
61 Cooper Av;Altona North;11,1;;;Western Metropolitan
10 Freemans St;Altona North;11,1;;;Western Metropolitan
16 Beevers St;Altona North;11,1;-37,8254;144,8514;Western Metropolitan
4/63 Marion St;Altona North;11,1;-37,8355;144,85299999999998;Western Metropolitan
150A McIntosh Rd;Altona North;11,1;;;Western Metropolitan
21 Neal Ct;Altona North;11,1;-37,8327;144,8451;Western Metropolitan
31 Duosa Rd;Altona North;11,1;-37,8269;144,8455;Western Metropolitan
252 Millers Rd;Altona North;11,1;-37,8391;144,8467;Western Metropolitan
1/156 Chambers Rd;Altona North;11,1;-37,8262;144,8443;Western Metropolitan
19 Cleghorn Av;Altona North;11,1;;;Western Metropolitan
2 Gadsden St;Altona North;11,1;-37,8277;144,8385;Western Metropolitan
24 Hansen St;Altona North;11,1;-37,8382;144,8649;Western Metropolitan
4 Prismall St;Altona North;11,1;-37,8423;144,8632;Western Metropolitan
1/21 Freemans Rd;Altona North;11,1;;;Western Metropolitan
122 McIntosh Rd;Altona North;11,1;-37,8444;144,8491;Western Metropolitan
35 May St;Altona North;11,1;-37,834;144,8553;Western Metropolitan
29 Cyclamen Av;Altona North;11,1;;;Western Metropolitan
6 Hill St;Altona North;11,1;-37,8318;144,8388;Western Metropolitan
84 May St;Altona North;11,1;-37,833;144,8494;Western Metropolitan
81 Fifth Av;Altona North;11,1;;;Western Metropolitan
23 Huxtable Av;Altona North;11,1;;;Western Metropolitan
155 Chambers Rd;Altona North;11,1;-37,8262;144,8439;Western Metropolitan
61a First Av;Altona North;11,1;;;Western Metropolitan
268d Mason St;Altona North;11,1;-37,8393;144,8568;Western Metropolitan
5 Cresser St;Altona North;11,1;-37,8375;144,8541;Western Metropolitan
1/33 Fifth Av;Altona North;11,1;;;Western Metropolitan
1/8 Fourth Av;Altona North;11,1;;;Western Metropolitan
107 McIntosh Rd;Altona North;11,1;-37,8441;144,8505;Western Metropolitan
10 Knapp St;Altona North;11,1;-37,8285;144,8351;Western Metropolitan
4/221 Blackshaws Rd;Altona North;11,1;-37,8332;144,8649;Western Metropolitan
56a MacDonald Av;Altona North;11,1;;;Western Metropolitan
126 Sixth Av;Altona North;11,1;;;Western Metropolitan
24 Hume St;Armadale;6,3;-37,8573;145,0226;Southern Metropolitan
8/19 Mercer Rd;Armadale;6,3;-37,8543;145,0262;Southern Metropolitan
1/42 Adelaide St;Armadale;6,3;-37,8539;145,0284;Southern Metropolitan
14/71 Denbigh Rd;Armadale;6,3;-37,8552;145,016;Southern Metropolitan
4/769 High St;Armadale;6,3;-37,854;145,0135;Southern Metropolitan
12 Huntingtower Rd;Armadale;6,3;-37,8546;145,0245;Southern Metropolitan
28 Lambeth Av;Armadale;6,3;;;Southern Metropolitan
7 Llaneast St;Armadale;6,3;-37,8614;145,0274;Southern Metropolitan
9/55 Northcote Rd;Armadale;6,3;-37,853;145,0167;Southern Metropolitan
1/7 Railway Av;Armadale;6,3;;;Southern Metropolitan
65 Barkly Av;Armadale;6,3;;;Southern Metropolitan
28 Cambridge St;Armadale;6,3;-37,8592;145,0182;Southern Metropolitan
6 Cambridge St;Armadale;6,3;-37,859;145,0172;Southern Metropolitan
3/16 Fulton St;Armadale;6,3;-37,8538;145,0127;Southern Metropolitan
6 Fulton St;Armadale;6,3;-37,8538;145,0123;Southern Metropolitan
21 Lambeth Av;Armadale;6,3;;;Southern Metropolitan
3/20 Mercer Rd;Armadale;6,3;-37,8537;145,0267;Southern Metropolitan
7/53 Wattletree Rd;Armadale;6,3;-37,8614;145,0222;Southern Metropolitan
1/77 Wattletree Rd;Armadale;6,3;-37,8619;145,0257;Southern Metropolitan
12 Willis St;Armadale;6,3;-37,8574;145,0281;Southern Metropolitan
12 Alleyne Av;Armadale;6,3;;;Southern Metropolitan
3/10 Denbigh Rd;Armadale;6,3;-37,8596;145,0156;Southern Metropolitan
