Address	Type	Rooms	Bathroom	CarSpots	Landsize	BuildingArea	YearBuilt
112 Beaconsfield Pde	house	3	2.0	0.0	211.0	198.0	1890.0
94 Graham St	house	3	2.0	0.0	128.0	133.0	1890.0
14 Merton St	house	2	1.0	0.0	215.0		1900.0
396 Montague St	house	2	1.0	0.0	130.0	81.0	1900.0
9 Boyd St	house	3	2.0	1.0	336.0	145.0	1890.0
75 Graham St	house	2	1.0	0.0	147.0		1900.0
54 Brooke St	house	2	1.0	1.0	167.0		
104 Richardson St	house	4	2.0	1.0	153.0	180.0	1880.0
81 Richardson St	house	3	1.0	2.0	316.0	125.0	1880.0
4a Mills St	townhouse	3	2.0	2.0	718.0		
1 Moubray St	house	3	2.0	1.0	132.0	159.0	1996.0
114 Victoria Av	house	3					
29 Faussett St	house	2	1.0	1.0	199.0	107.0	1900.0
3 Herbert St	house	3	1.0	1.0	253.0		
24 Kerferd Pl	house	3	2.0	1.0	90.0	122.0	1900.0
5 Withers St	house	3	1.0	0.0	126.0	88.0	1910.0
44 Draper St	house	2	1.0	0.0	240.0		
2 Dundas Pl	house	3	2.0	1.0	177.0	181.0	1880.0
23 Finlay St	house	5	2.0	1.0	237.0		
31 Richardson St	house	3	1.0	0.0	129.0		
4a Gatehouse La	house	3	2.0	2.0	0.0	85.0	2000.0
60 Brooke St	house	2	1.0	0.0	288.0		
140 Danks St	house	2	1.0	2.0	366.0	117.0	1900.0
70 Barrett St	house	3	2.0	1.0	228.0		
65 Graham St	house	2	1.0	0.0	149.0	98.0	1890.0
1 Herbert Pl	house	2	1.0	1.0	152.0		
364 Montague St	house	2	1.0	0.0	141.0	83.0	1890.0
86 Mills St	house	3	2.0	1.0	211.0	147.0	1900.0
28 Dinsdale St	house	4	1.0	0.0	236.0		
90 Danks St	house	3	1.0	2.0	300.0		
129 Kerferd Rd	house	3	1.0	0.0	209.0		1900.0
97 Page St	house	3	2.0	0.0	147.0	146.0	1890.0
36 Ashworth St	house	3	1.0	0.0	173.0		
55 Withers St	house	4	3.0	1.0	327.0	254.0	1910.0
18 Herbert St	house	3	1.0	0.0	169.0		
10/140 Kerferd Rd	flat	2	1.0	1.0	0.0		
9 Merton Pl	house	3	2.0	1.0	122.0		
55 Merton St	house	3	1.0	1.0	120.0	123.0	1900.0
16 Dinsdale St	house	3	2.0	1.0	241.0	119.0	1990.0
51 Graham St	house	2	2.0	1.0	225.0		
143 Kerferd Rd	house	7	7.0	0.0	435.0		
49 Page St	house	3	1.0	1.0	238.0	131.0	1890.0
13/52 Moubray St	flat	1	1.0	0.0	0.0	34.0	1970.0
115 Page St	house	4	2.0	1.0	330.0	207.0	1910.0
32 Page St	house	2	1.0	0.0	136.0		
34 Richardson St	house	3	1.0	1.0	202.0		
2b Dundas Pl	house	3	3.0	1.0	0.0		
22 Greig St	house	3	2.0	2.0	325.0		
27 Barrett St	house	4	2.0	1.0	183.0	145.0	1880.0
3 Faussett St	flat	2					
44 Greig St	house	2	1.0	1.0	162.0		
6 Brooke St	house	2	1.0	0.0	79.0	68.0	1890.0
7 Herbert Pl	house	2	1.0	0.0	99.0	65.0	1900.0
8 Kerferd Pl	house	4	2.0	0.0	230.0	185.0	1900.0
5 Reed St	house	3	2.0	1.0	141.0		
227a Danks St	house	3	2.0	0.0	152.0		
17 Reed St	house	3	2.0	2.0	147.0	134.0	1890.0
74 Bridport St	house	3	3.0	1.0	0.0		
9 Durham St	house	1	1.0	0.0	81.0	54.0	1900.0
30 Austin St	house	3	2.0	1.0	174.0	122.0	2003.0
6 Smith St	house	4	2.0	4.0	853.0	263.0	1930.0
5/6 Yarralea St	house	3	2.0	2.0	208.0		2013.0
136A Fulham Rd	house	3	2.0	2.0	411.0		
1/9 Roemer Cr	flat	2					
4 Tuckett St	house	3	1.0	3.0	922.0		
2/21 Fulham Rd	townhouse	3					
44 Shiers St	house	4	2.0	1.0	599.0	203.0	1925.0
83 Fulham Rd	house	5	4.0	4.0	809.0	165.0	1910.0
29 Alphington St	house	5	3.0	4.0	743.0		1915.0
3/19 Harker St	flat	2	1.0	1.0	88.0	60.0	1960.0
4/2 Miller St	townhouse	2	2.0	3.0	155.0	140.0	2004.0
2/5 Yarana Rd	flat	2	1.0	1.0	0.0		
4/5 Chandler Hwy	townhouse	4					
69 Lucerne Cr	house	3					
815 Heidelberg Rd	house	3	3.0	2.0	686.0		
44 Naroon Rd	house	3	1.0	2.0	592.0		
11 Tower Av	house	4					
1/17 Rex Av	flat	2					
3/98 Grange Rd	flat	2	1.0	1.0	183.0		
10 Bennett St	house	4	2.0	2.0	606.0	112.0	1970.0
38 Bennett St	house	4	2.0	2.0	575.0	271.0	2008.0
2c Hamilton St	house	3	1.0	1.0	180.0	131.0	2010.0
5/5 Yarana Rd	flat	2	1.0	1.0	0.0	60.0	1960.0
7/7 Chandler Hwy	townhouse	2	1.0	0.0	0.0		
1/14 Fulham Rd	flat	2	1.0	1.0	0.0	61.0	1965.0
17 Lowther St	house	3					
29 Naroon Rd	house	4	2.0	2.0	597.0		
13a Fulham Rd	house	3					
32/23 Coate Av	house	3					
22 Lowther St	house	3	1.0	2.0	979.0		
6/11 Broomfield Av	flat	2					
11 Margaret Gr	house	4	2.0	2.0	556.0	272.0	1930.0
21 Como St	house	5	2.0	2.0	552.0	211.0	1916.0
6 Naroon Rd	house	3	0.0	0.0	597.0		
42 Shiers St	house	4	2.0	3.0	589.0	210.0	1920.0
158 Queen St	house	3	2.0	1.0	352.0	242.0	2015.0
59 Bracken Gr	house	5	3.0	3.0	729.0	268.0	2005.0
1/123 Blyth St	townhouse	2	1.0	2.0	292.0	125.0	2013.0
4 Blyth St	house	3	1.0	2.0	506.0	120.0	1930.0
20 Linnet St	house	4	1.0	4.0	655.0		
29 Rose St	house	4	3.0	6.0	1057.0	220.0	1962.0
1/170 Blyth St	flat	3	1.0	2.0	311.0	94.0	1955.0
5/35 Grieve Pde	flat	2	1.0	1.0	65.0		
156 Maidstone St	house	3	1.0	1.0	602.0	123.0	1955.0
11 Keeshan Ct	house	3	1.0	1.0	530.0		
1/4 Deavey Ct	flat	2					
1/136 Queen St	flat	2	1.0	1.0	225.0	93.0	1988.0
173 Queen St	house	3	1.0	4.0	777.0	22.0	1953.0
1/265 Queen St	townhouse	3	2.0	2.0	280.0		1997.0
3/26 Grieve Pde	flat	2	1.0	1.0	127.0	76.0	1990.0
261 Queen St	house	4	2.0	2.0	695.0		
4/5 Rose St	flat	2	1.0	2.0	115.0	57.0	1980.0
1/60 David St	flat	3	2.0	2.0	230.0		
1A Merritt Ct	townhouse	3	2.0	2.0	197.0	152.0	
4/31 Millers Rd	flat	2	1.0	1.0	0.0	65.0	1965.0
111/112 Pier St	flat	2	1.0	1.0	0.0		
24 Wren St	house	4	1.0	2.0	745.0	130.0	1950.0
54 Seves St	house	3					
1/152 Blyth St	townhouse	3	2.0	2.0	211.0	176.0	
2/6 Galvin St	townhouse	3					
4/57 Blyth St	flat	3	2.0	1.0	69.0	141.0	2014.0
10 Wilga Av	townhouse	3					
164 Maidstone St	house	3	1.0	4.0	625.0		1960.0
3/25 Rayner St	flat	2	1.0	1.0	168.0		
3/46 Sargood St	flat	2	1.0	1.0	137.0	77.0	1990.0
1/57 Blyth St	flat	3	2.0	1.0	70.0		
22 Fenfield St	house	3	1.0	2.0	606.0	87.0	1950.0
5/8 David St	flat	2	2.0	1.0	175.0	76.0	2013.0
1/28 Seves St	house	3	1.0	2.0	363.0		
27 McIntyre Dr	house	3	2.0	2.0	534.0	136.0	1965.0
4 Boyd St	house	3	1.0	2.0	724.0		
5a Emu Av	house	4					
12 Spear Ct	townhouse	3	2.0	0.0	265.0		
185 Queen St	house	3	3.0	1.0	577.0		
3/20 Mulga St	flat	3	2.0	1.0	205.0	113.0	2007.0
95 Blyth St	house	4	2.0	3.0	504.0		
51 Millers Rd	house	4	1.0	0.0	797.0		
2/119 Railway St N	flat	3	1.0	2.0	181.0		
12 Ransom Av	house	3					
2/5 Rose St	flat	2	1.0	1.0	117.0	58.0	1980.0
24 McIntyre Dr	house	3	2.0	2.0	529.0		
104 Maidstone St	house	2	2.0	1.0	675.0	100.0	1950.0
49 Bent St	house	3	1.0	1.0	929.0		
5/57 Blyth St	flat	3	2.0	1.0	70.0	3.0	2014.0
15 Kookaburra St	house	3	1.0	4.0	697.0		
219 Civic Pde	house	3	1.0	2.0	604.0		
3 Curtin Ct	house	4	2.0	3.0	532.0		1970.0
2/60 David St	house	2	1.0	1.0	154.0	91.0	1996.0
1 Beuron Rd	house	3	1.0	1.0	620.0	108.0	1950.0
45 Hearn St	house	5	3.0	6.0	592.0	251.0	1965.0
4 Knapp St	house	3	1.0	2.0	533.0	117.0	1970.0
103 Sixth Av	house	4					
80A Hansen St	house	4					
21 Hatherley Gr	house	3	1.0	3.0	554.0		
3/66 Marion St	townhouse	2	1.0	1.0	77.0	77.0	2009.0
153 Mills St	house	3	1.0	3.0	655.0		
1/70 Misten Av	house	2					
33 Carthy St	house	3	1.0	2.0	534.0	167.0	1967.0
47 Ginifer Av	house	3					
16 Harris St	house	3	1.0	3.0	540.0		
1/5 Little St	house	3	2.0	1.0	0.0	130.0	2012.0
58a Clematis Av	townhouse	4					
1/77 Hansen St	flat	3					
21 Joel Av	house	3					
1/95 Mills St	house	3	1.0	1.0	328.0	118.0	1970.0
2/5 Stapley Cr	house	4					
5 Binns St	house	3	1.0	3.0	540.0	116.0	1960.0
2/9 First Av	house	2					
1/28 Irwin Av	flat	3					
3/49 Misten Av	house	3					
29a The Broadway	townhouse	4					
25 Allan St	house	4	1.0	4.0	559.0	169.0	1965.0
9 Fourth Av	house	3					
11a Edward Av	townhouse	3					
45 Freemans Rd	house	4	2.0	5.0	537.0	196.0	1960.0
1B Paproth Gr	house	2					
7 Seventh Av	house	3					
1/256 Mason St	townhouse	2	1.0	1.0	252.0		1965.0
21 Allan St	house	4	1.0	4.0	558.0		
56a First Av	house	3					
63a First Av	house	3					
59 Misten Av	house	2					
85a First Av	townhouse	3					
22 Joel Av	house	3					
11 Mahon Av	house	3					
2/36 May St	house	3	2.0	2.0	171.0	109.0	2012.0
11 Beevers St	house	3	1.0	2.0	585.0	97.0	1960.0
2/10 Cleghorn Av	townhouse	3					
2 Edward Av	house	4					
10 Murphy St	house	4	1.0	4.0	851.0		
128 Second Av	house	3					
5/24 Valerian Av	house	3					
2/31 Cooper Av	house	2					
9 Begonia Av	house	5					
1/36 Amaranth Av	townhouse	3					
3/36 Amaranth Av	house	2					
61 Cooper Av	house	3					
10 Freemans St	house	3					
16 Beevers St	house	3	1.0	3.0	551.0		
4/63 Marion St	flat	1	1.0	1.0	0.0	46.0	1970.0
150A McIntosh Rd	townhouse	2					
21 Neal Ct	house	3	1.0	3.0	602.0	603.0	
31 Duosa Rd	house	3	1.0	2.0	740.0		
252 Millers Rd	house	4	2.0	4.0	315.0	170.0	2008.0
1/156 Chambers Rd	house	3	2.0	2.0	276.0	100.0	2010.0
19 Cleghorn Av	house	3					
2 Gadsden St	house	3	1.0	1.0	531.0	157.0	1960.0
24 Hansen St	house	3	2.0	1.0	590.0	160.0	1950.0
4 Prismall St	house	3	1.0	4.0	715.0		2008.0
1/21 Freemans Rd	house	3					
122 McIntosh Rd	house	3	1.0	2.0	561.0		
35 May St	house	2	1.0	2.0	691.0		
29 Cyclamen Av	house	2					
6 Hill St	house	3	2.0	3.0	555.0	130.0	1960.0
84 May St	house	4	1.0	2.0	708.0		
81 Fifth Av	house	4					
23 Huxtable Av	house	3					
155 Chambers Rd	house	4	1.0	3.0	668.0		
61a First Av	house	3					
268d Mason St	townhouse	4	3.0	1.0	252.0		
5 Cresser St	house	4	1.0	4.0	633.0	158.0	1960.0
1/33 Fifth Av	house	3					
1/8 Fourth Av	house	3					
107 McIntosh Rd	house	3	1.0	1.0	557.0		
10 Knapp St	house	3	1.0	1.0	536.0		
4/221 Blackshaws Rd	flat	2	1.0	1.0	153.0	70.0	1970.0
56a MacDonald Av	townhouse	3					
126 Sixth Av	house	3					
24 Hume St	house	3	1.0	1.0	305.0		
8/19 Mercer Rd	flat	2	1.0	1.0	0.0	76.0	1964.0
1/42 Adelaide St	flat	2	1.0	0.0	861.0		
14/71 Denbigh Rd	flat	3	2.0	2.0	0.0	100.0	1998.0
4/769 High St	townhouse	3	2.0	2.0	101.0	105.0	2000.0
12 Huntingtower Rd	house	3	2.0	2.0	588.0	168.0	1930.0
28 Lambeth Av	house	3					
7 Llaneast St	house	3	2.0	2.0	296.0	150.0	1889.0
9/55 Northcote Rd	flat	1	1.0	0.0	0.0		
1/7 Railway Av	flat	2					
65 Barkly Av	house	3					
28 Cambridge St	house	3	1.0	1.0	217.0	116.0	1888.0
6 Cambridge St	house	4	2.0	1.0	211.0		
3/16 Fulton St	flat	2	1.0	2.0	0.0		
6 Fulton St	house	2	1.0	1.0	183.0		
21 Lambeth Av	house	3					
3/20 Mercer Rd	townhouse	3	2.0	2.0	0.0	165.0	1995.0
7/53 Wattletree Rd	flat	1	1.0	0.0	881.0		
1/77 Wattletree Rd	flat	2	1.0	1.0	0.0		
12 Willis St	house	3	2.0	1.0	205.0	116.0	1910.0
12 Alleyne Av	house	4					
3/10 Denbigh Rd	flat	2	1.0	1.0	0.0	65.0	1970.0
8/71 Denbigh Rd	flat	2	1.0	2.0	0.0		
11/17 Myamyn St	flat	2	2.0	2.0	0.0		2006.0
526 Orrong Rd	house	4	2.0	2.0	1581.0		1934.0
37 Barkly Av	house	2					
553 Dandenong Rd	house	5	2.0	2.0	693.0		
17 Egerton Rd	house	4	1.0	2.0	500.0		
9/19 Mercer Rd	flat	3	2.0	1.0	2113.0	14.0	1970.0
6/26 Mercer Rd	flat	2	1.0	1.0	0.0		
538a Orrong Rd	townhouse	3	2.0	2.0	246.0		
557 Orrong Rd	house	4	2.0	2.0	369.0	176.0	1930.0
5/68 Rose St	townhouse	3	2.0	1.0	175.0	158.0	1970.0
11/38 Wattletree Rd	flat	2	1.0	1.0	0.0	65.0	1970.0
24 Lambeth Av	house	5					
18/41 Kooyong Rd	flat	2	1.0	1.0	0.0		1960.0
10 William St	house	1	2.0	1.0	144.0	107.0	1900.0
11 Adelaide St	house	4	4.0	2.0	662.0	292.0	1920.0
15/405 Dandenong Rd	flat	1	1.0	1.0	0.0	38.0	1975.0
1/2 Armadale St	flat	1	1.0	1.0	0.0		
54 Denbigh Rd	house	4	2.0	2.0	551.0	208.0	1890.0
4/20 Mercer Rd	house	2	2.0	2.0	0.0		
47 Northcote Rd	house	3	2.0	0.0	246.0	204.0	1890.0
8/58 Sutherland Rd	flat	2	1.0	1.0	0.0	73.0	1970.0
6A Munro St	house	3	2.0	1.0	242.0	143.0	1915.0
40 New St	house	2	1.0	0.0	249.0	96.0	1910.0
35 Northcote Rd	house	4	2.0	2.0	624.0	222.0	1900.0
7/17 Myamyn St	flat	3	2.0	3.0	0.0	203.0	2006.0
595 Orrong Rd	house	3	2.0	2.0	292.0	146.0	1910.0
3 Wattletree Rd	house	3	2.0	1.0	482.0	182.0	1930.0
2b Denbigh Rd	house	3	2.0	1.0	228.0	111.0	1915.0
791 High St	house	3	2.0	2.0	405.0	121.0	1910.0
22 Lambeth Av	house	4					
25 Llaneast St	house	4	1.0	2.0	495.0	163.0	1900.0
5 Alleyne Av	house	4					
8/569 Orrong Rd	flat	1	1.0	1.0	0.0		
19 Sutherland Rd	house	3	1.0	2.0	451.0		
17/579 Dandenong Rd	flat	2	1.0	1.0	0.0	80.0	1966.0
11/26 Gladstone Av	flat	2					
2/1 Munro St	flat	3	1.0	4.0	0.0		
1 Cambridge St	house	2	1.0	2.0	230.0		1888.0
367 Dandenong Rd	house	6	3.0	4.0	1491.0	516.0	1935.0
10 Egerton Rd	house	4	2.0	2.0	449.0	232.0	1900.0
34a Rose St	house	2	1.0	2.0	169.0		
42 Rose St	house	3	3.0	1.0	301.0		
12 Auburn Gr	house	3	2.0	0.0	336.0		
31 Hume St	house	2	2.0	0.0	207.0		
10/581 Orrong Rd	flat	1	1.0	1.0	0.0	53.0	1970.0
5/8 Sutherland Rd	flat	2					
5/92 Wattletree Rd	flat	2	1.0	1.0	734.0		2006.0
7/579 Dandenong Rd	flat	2	1.0	1.0	0.0		1966.0
1/13 Denbigh Rd	townhouse	3	2.0	2.0	0.0	135.0	1998.0
19 Glassford St	house	3	2.0	1.0	316.0		
14 New St	house	3	1.0	2.0	212.0	106.0	1900.0
9/38 Northcote Rd	flat	2	1.0	1.0	0.0	67.0	1970.0
7/501 Orrong Rd	flat	3	2.0	2.0	0.0		
6/51 Armadale St	flat	2	1.0	1.0	0.0	74.0	1969.0
30 Barkly Av	house	4					
5/31 Inverness Av	flat	2					
12/41 Kooyong Rd	flat	2	1.0	1.0	0.0	98.0	1970.0
63 Denbigh Rd	house	3	1.0	2.0	328.0	108.0	1900.0
1 Derby St	house	3	2.0	2.0	0.0		
5/2 Mercer Rd	townhouse	3	3.0	2.0	0.0		
9/60 Wattletree Rd	flat	2	2.0	1.0	2659.0		
13/56 Sutherland Rd	flat	1	1.0	1.0	0.0		
12 Baldwin St	house	3	1.0	0.0	151.0	80.0	1880.0
48 Barkly Av	house	3					
7/22 Derby St	flat	1	1.0	1.0	0.0		
10/51 Armadale St	flat	2	1.0	1.0	2471.0	80.0	1970.0
2/377 Dandenong Rd	flat	2	1.0	1.0	1194.0		1953.0
1/14 Denbigh Rd	flat	2	1.0	1.0	0.0	88.0	1970.0
15 Sutherland Rd	house	3	2.0	2.0	459.0	180.0	1890.0
75 Sutherland Rd	house	3	1.0	2.0	186.0	80.0	1920.0
61 Union St	house	4	3.0	2.0	421.0		
30 Willis St	house	3	1.0	2.0	251.0	149.0	1920.0
1/770 Malvern Rd	flat	2	1.0	1.0	0.0		
1/403 Dandenong Rd	flat	2	1.0	1.0	0.0	76.0	1970.0
7 Lambeth Av	house	4					
3 Alleyne Av	house	4					
10/507 Dandenong Rd	flat	2					
44 Denbigh Rd	house	4	1.0	2.0	709.0	251.0	1900.0
44 Hampden Rd	house	4	3.0	3.0	563.0	333.0	2000.0
3/769 High St	townhouse	3	1.0	2.0	103.0	3.0	2000.0
4 Mercer Rd	house	3	2.0	2.0	617.0	285.0	1998.0
4/38 Northcote Rd	flat	2	1.0	1.0	0.0		
4/576 Orrong Rd	flat	2	1.0	2.0	0.0	112.0	2012.0
17 Kooyong Rd	house	4	3.0	4.0	544.0		
896 Malvern Rd	house	3	3.0	1.0	0.0		
1/31 Mercer Rd	flat	3	1.0	1.0	0.0	91.0	1940.0
8/507 Dandenong Rd	flat	2					
8 Derby St	house	3	2.0	1.0	196.0	155.0	1990.0
1/6 Elm Gr	flat	2	1.0	4.0	0.0		
37 Lambeth Av	house	3					
16 Llaneast St	house	5	2.0	2.0	617.0		
2/532 Orrong Rd	flat	2	1.0	1.0	0.0		
5/555 Orrong Rd	flat	1	1.0	1.0	0.0	53.0	2013.0
3/50 Denbigh Rd	flat	2	0.0	0.0	0.0		
11 Egerton Rd	house	2	1.0	1.0	266.0		
7/844 Malvern Rd	flat	2	1.0	1.0	0.0		1980.0
24 Ayr St	house	3	1.0	2.0	305.0	135.0	1910.0
2/43 Roxburgh St	flat	2	1.0	2.0	0.0		
30 Rothwell St	house	3	1.0	2.0	298.0	108.0	1920.0
9/5 Rothwell St	flat	2	1.0	1.0	0.0	62.0	1980.0
47 Union Rd	house	3	1.0	2.0	271.0	111.0	1900.0
42 Archer Av	house	3					
7 Francis St	house	3	2.0	2.0	277.0	174.0	1910.0
2/21 Harold St	flat	2	1.0	1.0	423.0	62.0	1970.0
44 The Parade	house	4	3.0	1.0	478.0	270.0	1900.0
97 Walter St	house	3	1.0	2.0	623.0		1938.0
98 Epsom Rd	house	3	2.0	2.0	285.0	128.0	1900.0
8 Geddes St	house	2	1.0	1.0	214.0	77.0	1890.0
75 Maribyrnong Rd	house	6	3.0	2.0	1014.0	435.0	1887.0
119 Roseberry St	house	2	1.0	1.0	226.0	92.0	1920.0
25 Station Av	house	2					
10 Fenton St	house	2	1.0	1.0	269.0	109.0	1900.0
10 McCully St	house	3	1.0	1.0	417.0	168.0	1900.0
120 Epsom Rd	house	3	1.0	2.0	350.0	125.0	1904.0
47 Hurtle St	house	2	1.0	1.0	330.0		
63 Kent St	house	2	1.0	1.0	118.0	79.0	1890.0
4 The Parade	house	2	1.0	1.0	173.0	102.0	1900.0
4 West St	house	3	2.0	2.0	252.0	125.0	1920.0
1/17 Epsom Rd	flat	2	1.0	2.0	228.0	90.0	1995.0
70 Bloomfield Rd	house	4	1.0	2.0	398.0		
